,x,y
580,9.924917787995286,-0.12709901060463405
581,9.938978040689202,-0.13998699342049165
582,9.953731028069573,-0.1499710165683056
583,9.96899033316123,-0.15783254427661664
584,9.984268049805559,-0.1656168903345282
585,9.99948938106881,-0.17363760520104488
586,10.01489828002797,-0.18087203199134377
587,10.030532720516083,-0.1871609835277645
588,10.021678265180581,-0.2682012238911451
589,10.037959835414917,-0.27191809584854076
590,10.055914709398941,-0.26998087942726734
591,10.075611845823241,-0.2621565634175622
592,10.095859244453584,-0.252472913055094
593,10.11580829119572,-0.24379739283287583
594,10.135619420559532,-0.2355878950205924
595,10.155499508611092,-0.2271453860081366
596,10.175288120849016,-0.2190119734970557
597,10.195214650468104,-0.21041253856645148
598,10.215713959419121,-0.19987768398188188
599,10.236670647443958,-0.18779734687125627
600,10.25790176291252,-0.17478972024691508
601,10.279476264518223,-0.16062179288950806
602,10.30141807669987,-0.14521272419167786
603,10.32347528914247,-0.12941371835634796
604,10.345715453212328,-0.11299651951826828
605,10.368299003419326,-0.09541901994712132
606,10.391042988130533,-0.07729941266483675
607,10.414107841852994,-0.058095589950688975
608,10.43783695072385,-0.036647251071611375
609,10.46170397697587,-0.014732889773009572
610,10.484860306511962,0.004780029442513711
611,10.507190539076852,0.02150156945663767
612,10.528947992309813,0.036287689816795865
613,10.550431018101886,0.05014652067282743
614,10.571731092261027,0.06338715850693039
615,10.592939690606539,0.07631869983965778
616,10.61437768214684,0.09002536009328427
617,10.636205501391812,0.10504924699812535
618,10.657986879069256,0.11991620798481806
619,10.679126518724186,0.13261473810778385
620,10.699418951603464,0.1424505590630677
621,10.719047129334346,0.15004186385342178
622,10.738102527736133,0.15569774899939987
623,10.756378270728579,0.1587191808429479
624,10.774241668898974,0.16034730076284626
625,10.792701770842946,0.1639916809536559
626,10.811665693428269,0.16933846958866916
627,10.830353781251274,0.17375321338463434
628,10.848812475873814,0.177392838240523
629,10.867271170499192,0.1810324631060003
630,10.885776306689259,0.18482901388003675
631,10.904029532561491,0.18777436044156126
632,10.921709979101795,0.188784287349119
633,10.939229991135052,0.18925210653595004
634,10.956932954798404,0.19033811873512202
635,10.974682360029286,0.19158105685244198
636,10.992317772320652,0.1924388131671842
637,11.009333963715395,0.1912042239194015
638,11.025066679062283,0.18563277293457447
639,11.0394934012411,0.17564837493067909
640,11.053828647603451,0.16535488041581925
