x,y
10.021678265180581,-0.2743908678883118
10.037959835414917,-0.27810773984570747
10.055914709398941,-0.27617052342443404
10.075611845823241,-0.2683462074147289
10.095859244453584,-0.2586625570522607
10.11580829119572,-0.24998703683004253
10.135619420559532,-0.2417775390177591
10.155499508611092,-0.2333350300053033
10.175288120849016,-0.2252016174942224
10.195214650468104,-0.21660218256361818
10.215713959419121,-0.2060673279790486
10.236670647443958,-0.19398699086842297
10.25790176291252,-0.1809793642440818
10.279476264518223,-0.16681143688667477
10.30141807669987,-0.15140236818884456
10.32347528914247,-0.13560336235351467
10.345715453212328,-0.11918616351543498
10.368299003419326,-0.10160866394428802
10.391042988130533,-0.08348905666200346
10.414107841852994,-0.06428523394785568
10.43783695072385,-0.04283689506877808
10.46170397697587,-0.020922533770176277
10.484860306511962,-0.0014096145546529937
10.507190539076852,0.015311925459470965
10.528947992309813,0.03009804581962916
10.550431018101886,0.04395687667566073
10.571731092261027,0.05719751450976368
10.592939690606539,0.07012905584249107
10.61437768214684,0.08383571609611756
10.636205501391812,0.09885960300095864
10.657986879069256,0.11372656398765135
10.679126518724186,0.12642509411061714
10.699418951603464,0.136260915065901
10.719047129334346,0.14385221985625507
10.738102527736133,0.14950810500223316
10.756378270728579,0.1525295368457812
10.774241668898974,0.15415765676567955
10.792701770842946,0.1578020369564892
10.811665693428269,0.16314882559150246
10.830353781251274,0.16756356938746764
10.848812475873814,0.17120319424335628
10.867271170499192,0.1748428191088336
10.885776306689259,0.17863936988287005
10.904029532561491,0.18158471644439456
10.921709979101795,0.1825946433519523
10.939229991135052,0.18306246253878333
10.956932954798404,0.18414847473795531
10.974682360029286,0.18539141285527527
10.992317772320652,0.1862491691700175
11.009333963715395,0.1850145799222348
11.025066679062283,0.17944312893740777
11.0394934012411,0.16945873093351238
11.053828647603451,0.15916523641865254
11.068507280100103,0.1500320426272697
11.08293400227892,0.14004764462337438
11.097429683148318,0.13029625782924115
11.112589619163273,0.12278938719044835
11.128620686398367,0.11822606634587146
11.144995139767762,0.11482304622477252
11.160934731189224,0.10995062887882012
11.176370501969336,0.10337580308866412
11.191621913797922,0.09617802895124694
11.206735408245349,0.08851423239430622
11.221781351323626,0.08062217996252496
11.237308597917368,0.07435645067374452
11.253957478733325,0.07188072007594914
11.27152252501268,0.07250070984600843
11.288927136787827,0.07257859190493021
11.30539306597369,0.06948466829479527
11.320965346816367,0.06337110959883085
11.335987365447325,0.05539821653092625
11.35100938408112,0.047425323472610026
11.366673140737428,0.04162086127802078
11.383620373438752,0.04015326081088755
11.401942558001567,0.04333161858217277
11.421089432216984,0.04929660022952553
11.440396740936608,0.055803689588016625
11.459452139338397,0.06145957473399433
11.478140227158562,0.06587431852037073
11.496050066896492,0.0676593643584169
11.51309018273288,0.06650561572757996
11.529809429558012,0.06426765166487902
11.546482234815613,0.061872761684029665
11.56276521237138,0.058160645061554994
11.57822350027454,0.05166190456301201
11.592581263759941,0.04144449533976596
11.6058624272749,0.027589258027939545
11.618824129097193,0.012654560609581367
11.632129217056633,-0.0011198360757109782
11.645594739520279,-0.014352125049865494
11.65924321361402,-0.026966221011680003
11.673852887420098,-0.036332426012824715
11.689516644076404,-0.042136888207413126
11.705478752620914,-0.04693322026175162
11.721143916595816,-0.05273292713100852
11.736029425167049,-0.0611670872835165
11.75008883676708,-0.07239262663742418
11.763690869293294,-0.08516364851738711
11.777361860510084,-0.09770165918758777
11.791926500070058,-0.10722003477195963
11.807888608611734,-0.11201636683588712
11.824744365499432,-0.11379306380439591
11.841394653633985,-0.11626403907685912
11.857059817611722,-0.12206374593652725
11.872129685131641,-0.1298749577513627
11.887587973034805,-0.1363736982499053
11.90375555033246,-0.1404757520002905
11.920885734663885,-0.14132515945508428
11.939299395040324,-0.1378377051824229
11.958767138266998,-0.1307885081032062
11.9786697434416,-0.12226991379913599
11.998044603533213,-0.11553456855621591
12.016021994640289,-0.11352126684332864
12.032258530628527,-0.11739030938395167
12.047211590571743,-0.12559621365202978
12.06182126437782,-0.13496241865317438
12.07670677294905,-0.1433965788056819
12.092234019545629,-0.1496623080848738
12.108630990038074,-0.15298924291435945
12.125578222739401,-0.15445684338149368
12.142388945381,-0.15638571093322984
12.15961201284748,-0.1569212665517271
12.178232549295661,-0.15273477864978047
12.197517340895073,-0.14630377457331445
12.216619180861557,-0.14049096351877777
12.23601796539765,-0.13367477764932278
12.255805170314147,-0.12554612047316316
12.274928120085082,-0.1196619794523448
12.292196221797662,-0.1200453644876146
12.307081730368893,-0.12847952464012213
12.320614804204526,-0.14148355772984778
12.334078919346743,-0.15472060203892302
12.348046855133145,-0.16625523789420593
12.362863405010957,-0.17492240926606428
12.378413168730585,-0.18111205325364244
12.393985449570426,-0.18722561195919518
12.408688006514401,-0.19627796511445472
12.422610908051867,-0.20796477156255366
12.436625285402961,-0.2193424815092775
12.45118992496294,-0.2288608570936489
12.466372378100942,-0.2362916424408278
12.482746831470338,-0.23969466256192673
12.500518753827109,-0.23837563914340465
12.518863455512971,-0.23512119608050563
12.536933729755107,-0.2327940425313212
12.554041396960642,-0.23371953528731793
12.569430726173223,-0.24045128699562235
12.583010241576389,-0.2532983941671987
12.596108453461248,-0.2677718244913655
12.6109250033419,-0.2764389958536352
12.629773525669112,-0.27148214434653206
12.652288117182692,-0.25413765599473614
12.676315577938919,-0.23168118698499707
12.70059494901866,-0.20837351374356716
12.72430154076363,-0.18700126016569196
12.747595787683716,-0.1670223185210561
12.770843593036274,-0.14720030279456797
12.793862005191208,-0.12815340599856817
