"Run 1: Time (s)","Run 1: Flow Rate (L/s)","Run 1: Volume (L)","Run 2: Time (s)","Run 2: Flow Rate (L/s)","Run 2: Volume (L)"
0,-0.116638186446,0,0,-0.00238037115196,-0
0.016667,-0.155319217665,0.00226635702716,0.016667,0.00773620624386,-4.46328517383E-05
0.033334,-0.184478764277,0.00509806350967,0.033334,0.00773620624386,-0.000173572201205
0.050001,-0.223159795496,0.00849511944754,0.050001,-0.00238037115196,-0.000218205052943
0.066668,-0.232681280104,0.0122938710511,0.066668,0.00773620624386,-0.000262837904681
0.083335,-0.223159795496,0.0160926226546,0.083335,-0.00238037115196,-0.00030747075642
0.100002,-0.232681280104,0.0198913742581,0.100002,-0.00238037115196,-0.00026779711043
0.116669,-0.20411682628,0.0235314312776,0.116669,-0.00238037115196,-0.00022812346444
0.133336,-0.20411682628,0.0269334464212,0.133336,0.00773620624386,-0.000272756316179
0.150003,-0.174957279669,0.0300924604832,0.150003,0.00773620624386,-0.000401695665645
0.16667,-0.155319217665,0.0328448196737,0.16667,0.00773620624386,-0.000530635015112
0.183337,-0.145797733057,0.0353541777826,0.183337,0.00773620624386,-0.000659574364578
0.200004,-0.13627624845,0.0377048413074,0.200004,-0.00238037115196,-0.000704207216316
0.216671,-0.126159671054,0.0398918510426,0.216671,0.00773620624386,-0.000748840068055
0.233338,-0.107116701838,0.0418358596961,0.233338,0.00773620624386,-0.000877779417521
0.250005,-0.058319093223,0.0432145188943,0.250005,0.00773620624386,-0.00100671876699
0.266672,-0.0487976086151,0.044107175929,0.266672,-0.00238037115196,-0.00105135161873
0.283339,-0.0101165773958,0.0445981372981,0.283339,-0.00238037115196,-0.00101167797274
0.300006,-0.000595092787989,0.0446874030016,0.300006,0.00773620624386,-0.00105631082447
0.316673,0.0190429692157,0.0445336676234,0.316673,0.00773620624386,-0.00118525017394
0.33334,0.0380859384313,0.0440575838715,0.33334,0.00773620624386,-0.00131418952341
0.350007,0.0482025158271,0.043338499038,0.350007,-0.00238037115196,-0.00135882237515
0.366674,0.0482025158271,0.0425351077067,0.366674,0.00773620624386,-0.00140345522688
0.383341,0.0482025158271,0.0417317163754,0.383341,0.00773620624386,-0.00153239457635
0.400008,0.0380859384313,0.0410126315418,0.400008,0.00773620624386,-0.00166133392582
0.416675,0.0380859384313,0.040377853206,0.416675,0.00773620624386,-0.00179027327528
0.433342,-0.0101165773958,0.0401447705358,0.433342,0.00773620624386,-0.00191921262475
0.450009,-0.0101165773958,0.0403133835313,0.450009,0.00773620624386,-0.00204815197422
0.466676,-0.0392761240073,0.0407249976084,0.466676,0.00773620624386,-0.00217709132368
0.483343,-0.0487976086151,0.0414589600592,0.483343,0.0172576908517,-0.00238537796513
0.50001,-0.0975952172303,0.0426789246734,0.50001,-0.00238037115196,-0.00250935810885
0.516677,-0.145797733057,0.0447072398246,0.516677,-0.00238037115196,-0.00246968446286
0.533344,-0.194000248885,0.0475389463071,0.533344,0.00773620624386,-0.00251431731459
