"Run 1: Time (s)","Run 1: Flow Rate (L/s)","Run 1: Volume (L)"
0,-0.116638186446,-0
0.016667,-0.155319217665,0.00226635702716
0.033334,-0.184478764277,0.00509806350967
0.050001,-0.223159795496,0.00849511944754
0.066668,-0.232681280104,0.0122938710511
0.083335,-0.223159795496,0.0160926226546
0.100002,-0.232681280104,0.0198913742581
0.116669,-0.20411682628,0.0235314312776
0.133336,-0.20411682628,0.0269334464212
0.150003,-0.174957279669,0.0300924604832
0.16667,-0.155319217665,0.0328448196737
0.183337,-0.145797733057,0.0353541777825
0.200004,-0.13627624845,0.0377048413074
0.216671,-0.126159671054,0.0398918510426
0.233338,-0.107116701838,0.0418358596961
0.250005,-0.058319093223,0.0432145188943
0.266672,-0.0487976086151,0.044107175929
0.283339,-0.0101165773958,0.0445981372981
0.300006,-0.000595092787989,0.0446874030016
0.316673,0.0190429692157,0.0445336676234
0.33334,0.0380859384313,0.0440575838715
0.350007,0.0482025158271,0.043338499038
0.366674,0.0482025158271,0.0425351077067
0.383341,0.0482025158271,0.0417317163754
0.400008,0.0380859384313,0.0410126315418
0.416675,0.0380859384313,0.040377853206
0.433342,-0.0101165773958,0.0401447705358
0.450009,-0.0101165773958,0.0403133835313
0.466676,-0.0392761240073,0.0407249976084
0.483343,-0.0487976086151,0.0414589600592
0.50001,-0.0975952172303,0.0426789246734
0.516677,-0.145797733057,0.0447072398246
0.533344,-0.194000248885,0.0475389463071
0.550011,-0.223159795496,0.051015349537
0.566678,-0.271957404111,0.0551414087199
0.583345,-0.300521857935,0.0599121646502
0.600012,-0.358840951158,0.0654069646197
0.616679,-0.378479013161,0.0715514205424
0.633346,-0.397521982377,0.0780182248387
0.650013,-0.426681528988,0.0848867248007
0.66668,-0.436203013596,0.0920775731363
0.683347,-0.465362560208,0.0995907698456
0.700014,-0.465362560208,0.107346967637
0.716681,-0.474884044816,0.11518251272
0.733348,-0.485000622211,0.123181711592
0.750015,-0.485000622211,0.131265216963
0.766682,-0.504043591427,0.139507416917
0.783349,-0.485000622211,0.147749616871
0.800016,-0.474884044816,0.155748815744
0.816683,-0.465362560208,0.163584360827
0.83335,-0.465362560208,0.171340558618
0.850017,-0.465362560208,0.179096756409
0.866684,-0.465362560208,0.1868529542
0.883351,-0.4558410756,0.194529804699
0.900018,-0.4558410756,0.202127307906
0.916685,-0.426681528988,0.209481810031
0.933352,-0.436203013596,0.216672658367
0.950019,-0.426681528988,0.223863506703
0.966686,-0.417160044381,0.230895660454
0.983353,-0.417160044381,0.237848466914
1.00002,-0.407043466985,0.244716966876
1.016687,-0.417160044381,0.251585466838
1.033354,-0.397521982377,0.258374619508
1.050021,-0.397521982377,0.265000118388
1.066688,-0.388000497769,0.271546269976
1.083355,-0.397521982377,0.278092421565
1.100022,-0.407043466985,0.284797267737
1.116689,-0.397521982377,0.291502113909
1.133356,-0.388000497769,0.298048265497
1.150023,-0.388000497769,0.304515069794
1.16669,-0.378479013161,0.310902526798
1.183357,-0.378479013161,0.31721063651
1.200024,-0.358840951158,0.323355092433
1.216691,-0.358840951158,0.329335894566
1.233358,-0.368362435765,0.335396043991
1.250025,-0.358840951158,0.341456193416
1.266692,-0.388000497769,0.347679996631
1.283359,-0.368362435765,0.353983147137
1.300026,-0.378479013161,0.360206950352
1.316693,-0.368362435765,0.366430753566
1.33336,-0.368362435765,0.372570250283
1.350027,-0.378479013161,0.378794053498
1.366694,-0.368362435765,0.385017856713
1.383361,-0.358840951158,0.391078006137
1.400028,-0.34931946655,0.396979460978
1.416695,-0.358840951158,0.402880915819
1.433362,-0.358840951158,0.408861717952
1.450029,-0.358840951158,0.414842520085
1.466696,-0.358840951158,0.420823322218
1.483363,-0.358840951158,0.426804124351
1.50003,-0.358840951158,0.432784926484
1.516697,-0.358840951158,0.438765728617
1.533364,-0.368362435765,0.444825878042
1.550031,-0.339797981942,0.450727332883
1.566698,-0.34931946655,0.45647009314
1.583365,-0.339797981942,0.462212853397
1.600032,-0.34931946655,0.467955613654
1.616699,-0.34931946655,0.473777721203
1.633366,-0.34931946655,0.479599828752
1.650033,-0.34931946655,0.485421936301
1.6667,-0.358840951158,0.491323391142
1.683367,-0.358840951158,0.497304193275
1.700034,-0.368362435765,0.5033643427
1.716701,-0.378479013161,0.509588145914
1.733368,-0.358840951158,0.515732601837
1.750035,-0.339797981942,0.521554709386
1.766702,-0.339797981942,0.527218122351
1.783369,-0.34931946655,0.532960882608
1.800036,-0.34931946655,0.538782990157
1.816703,-0.378479013161,0.544848098788
1.83337,-0.388000497769,0.551235555792
1.850037,-0.388000497769,0.557702360088
1.866704,-0.388000497769,0.564169164385
1.883371,-0.397521982377,0.570715315973
1.900038,-0.407043466985,0.577420162145
1.916705,-0.417160044381,0.584288662107
1.933372,-0.426681528988,0.591320815859
1.950039,-0.407043466985,0.598268663113
1.966706,-0.388000497769,0.604894161993
1.983373,-0.31063843533,0.610716269542
2.00004,-0.174957279669,0.614762981433
2.016707,-0.000595092787989,0.616225947129
2.033374,0.173767094093,0.614782818256
2.050041,0.318969734362,0.610676595896
2.066708,0.415969858805,0.604551976797
2.083375,0.493331921243,0.596974310413
